Source Name,RA (HMS),Dec (DMS)
J0002+6216,00:02:58.17,+62:16:09.4
J0006+1834,00:06:04.8,+18:34:59
J0007+7303,00:07:01.7,+73:03:07.4
J0011+08,00:11:34,+08:10
J0012+5431,00:12:23.3,+54:31:47
J0014+4746,00:14:17.75,47:46:33.4
J0021-0909,00:21:51.47,-09:09:58.7
J0023+0923,00:23:16.8765345,+09:23:23.87696989
J0024-7204C,00:23:50.3546,-72:04:31.5048
J0024-7204D,00:24:13.88092,-72:04:43.8524
J0024-7204E,00:24:11.10528,-72:05:20.1492
J0024-7204F,00:24:03.85547,-72:04:42.8183
J0024-7204G,00:24:07.9603,-72:04:39.7030
J0024-7204H,00:24:06.7032,-72:04:06.8067
J0024-7204I,00:24:07.9347,-72:04:39.6815
J0024-7204J,00:23:59.4077,-72:03:58.7908
J0024-7204L,00:24:03.7721,-72:04:56.923
J0024-7204M,00:23:54.4899,-72:05:30.756
J0024-7204N,00:24:09.1880,-72:04:28.8907
J0024-7204O,00:24:04.65254,-72:04:53.7670
J0024-7204P,00:24:20,-72:04:10
J0024-7204Q,00:24:16.4909,-72:04:25.1644
J0024-7204R,00:24:07.5851,-72:04:50.3954
J0024-7204S,00:24:03.9794,-72:04:42.3530
J0024-7204T,00:24:08.5491,-72:04:38.932
J0024-7204U,00:24:09.8366,-72:03:59.6882
J0024-7204V,00:24:05.67,-72:04:52.62
J0024-7204W,00:24:06.058,-72:04:49.088
J0024-7204X,00:24:22.38565,-72:01:17.4414
J0024-7204Y,00:24:01.4026,-72:04:41.8363
J0024-7204Z,00:24:06.041,-72:05:01.480
J0024-7204aa,00:24:05.67,-72:04:52.62
J0024-7204ab,00:24:08.1615,-72:04:47.602
J0024-7204ac,00:24:05.67,-72:04:5
J0024-7204ad,00:24:05.67,-72:04:5
J0026+6320,00:26:50.561,+63:20:00.87
J0026-1955,00:26:36,-19:55:59
J0030+0451,00:30:27.42654201,+04:51:39.72818959
J0033+57,00:33,+57:00:00
J0033+61,00:33,+61:00:00
J0034+69,00:34,+69:43
J0034-0534,00:34:21.83422,-05:34:36.722
J0034-0721,00:34:08.8703,-07:21:53.409
J0036-1033,00:36:15.01,-10:33:14.2
J0038-2501,00:38:10.264,-25:01:30.73
J0039+35,00:39:06,+35:45
J0040+5716,00:40:32.3899,+57:16:24.833
J0043-73,00:43:25,-73:11
J0045-7042,00:45:25.69,-70:42:07.1
J0045-7319,00:45:35.16,-73:19:03.0
J0048+3412,00:48:33.98382607,+34:12:08.04717719
J0050+03,00:50:31,+03:48
J0051+0423,00:51:30.1,04:22:49
J0052-72,00:52:28,-72:05
J0054+66,00:54,+66:00:00
J0054+69,00:54:28,+69:26
J0054+6946,00:54:59.11579605,+69:46:16.86620738
J0055+5117,00:55:45.3981,+51:17:24.601
J0056+4756,00:56:25.51209468,+47:56:10.56199127
J0057-7201,00:57:44.0,-72:01:19
J0058+4950,00:58:09.98890039,+49:50:26.02069741
J0058+6125,00:58,+61:25
J0058-7218,00:58:16.7,-72:18:06
J0059+69,00:59:30,+69:55
J0100+8023,01:00:16.09,+80:23:41.75
J0100-7211,01:00:43.03,-72:11:33.6
J0101-6422,01:01:11.1163,-64:22:30.171
J0102+4839,01:02:50.668,+48:39:42.76
J0102+6537,01:02:32.9914,+65:37:13.416
J0103+54,01:03:37,+54:02
J0104+64,01:04,+64:00:00
J0106+4855,01:06:25.06,+48:55:51.8
J0107+1322,01:07:39.95,+13:22:31.7
J0108+6608,01:08:22.5049,+66:08:34.499
J0108+6905,01:08:29.50364638,+69:05:52.64406594
J0108-1431,01:08:08.347016,-14:31:50.1871
J0109+11,01:09,+11:32
J0110-22,01:10,-22:00:00
J0111+6624,01:11:21.87580532,+66:24:10.80038567
J0111-7131,01:11:28.77,-71:31:46.8
J0113-7220,01:13:11.09,-72:20:32.20
J0115+6325,01:15:45.87,+63:25:50.8
J0117+5914,01:17:38.66078848,+59:14:38.4063007
J0121+53,01:21,+53:29
J0122+1416,01:22:01.31,+14:16:17
J0125+62,01:26,+62:35
J0125-2327,01:25:10,-23:27:26
J0131-7310,01:31:28.51,-73:10:09.34
J0133-6957,01:33:32.46,-69:57:29.68
J0134-2937,01:34:18.6824,-29:37:17.042
J0137+1654,01:37:23.88,+16:54:42.1
J0137+6349,01:37:13.36573197,+63:49:34.36886482
J0139+3336,01:39:57.23,+33:36:59.7
J0139+5621,01:39:38.56,+56:21:36.8
J0139+5814,01:39:19.7401,+58:14:31.819
J0141+6009,01:41:39.93792996,+60:09:32.31875547
J0141+63,01:41,+63:08
J0146+31,01:46:15,+31:04
J0146+6145,01:46:22.42,+61:45:02.8
J0147+5922,01:47:44.6434,+59:22:03.284
J0151-0635,01:51:22.7179,-06:35:02.987
J0152+0948,01:52:23.73,+09:48:10
J0152-1637,01:52:10.8539,-16:37:53.641
J0154+1833,01:54:36.88273,+18:33:50.758
J0156+04,01:56:01,+04:02
J0156+3949,01:56:55.24553297,+39:49:28.54712657
J0157+6212,01:57:49.9434,+62:12:26.648
J0158+21,01:58:29,+21:08
J0201+7005,02:01:41.344,+70:05:18.11
J0203-0150,02:03:33.91215,-01:50:01.5874
J0205+6449,02:05:37.92247,+64:49:41.3343
J0206-4028,02:06:01.293,-40:28:03.62
J0209+5759,02:09:37.304,+57:59:45.31
J0210+5845,02:10:55.4,+58:45:04
J0211-8159,02:11:59.0,-81:59:36.2
J0212+5222,02:12:52.13849522,+52:22:49.51624937
J0214+5222,02:14:55.2713,+52:22:40.95
J0215+6218,02:15:56.62697691,+62:18:33.38728965
J0218+4232,02:18:06.358569,+42:32:17.37515
J0220+3626,02:20:42.12,+36:26:55.7
J0227+3356,02:26:57.060,+33:56:27.76
J0229+20,02:29:03,+20:58
J0231+7026,02:31:13.99803058,+70:26:33.89736358
J0241+16,02:41:46,+16:04
J0242+62,02:42:35,+62:56:50
J0243+6027,02:43,+60:27
J0244+14,02:44:51,+14:27
J0248+4230,02:48:31.003,+42:30:20.49
J0248+6021,02:48:18.617,+60:21:34.72
J0250+5854,02:50:17.78,+58:54:01.3
J0251+2606,02:51:02.5537,+26:06:09.97
J0255-5304,02:55:56.2925,-53:04:21.275
J0301+35,03:01,+35:00:00
J0302+2252,03:02:31.990,+22:52:12.1
J0304+1932,03:04:33.115,19:32:51.4
J0305+11,03:05:06,+11:23
J0307+7443,03:07:55,+74:43:12
J0312-0921,03:12:06.2,-9:21:56
J0317+13,03:17:54,+13:29
J0318+0253,03:18:15.541,+02:53:01.48
J0323+3944,03:23:26.6619,+39:44:52.403
J0324+5239,03:24:55.46,+52:39:31.3
J0325+6744,03:25:05.12042238,+67:44:59.39886094
J0329+1654,03:29:08.55,+16:54:02
J0332+5434,03:32:59.4096,+54:34:43.329
J0335+4555,03:35:16.6416,+45:55:53.452
J0335+6623,03:35:57.06419957,+66:23:23.64314426
J0337+1715,03:37:43.82589,+17:15:14.828
J0337+79,03:37:22,+79:01:44
J0340+4130,03:40:23.28776444,+41:30:45.30132137
J0341+5711,03:41,+57:11
J0343+06,03:43,+06:00:00
J0343+5312,03:43:12.90868652,+53:12:53.43800734
J0343-3000,03:43:27.94,-30:00:27.5
J0344-0901,03:44:37.471,-09:01:02.66
J0348+0432,03:48:43.639000,+04:32:11.4580
J0349+2340,03:49:57.38,+23:40:53
J0355+28,03:55,+28:00:00
J0357+3205,03:57:52.5,+32:05:25
J0357+5236,03:57:44.8403,+52:36:57.493
J0357-05,03:57:56,-05:09:44
J0358+4155,03:58:03.17449884,+41:55:19.0418449
J0358+5413,03:58:53.7238,+54:13:13.784
J0358+6627,03:58:37.93018891,+66:27:46.58218149
J0359+5414,03:59:26.01,+54:14:55.7
J0401-7608,04:01:51.75,-76:08:12.95
J0402+4825,04:02:40.633,+48:25:57.51
J0405+3347,04:05,+33:00:00
J0406+30,04:06,+30:00:00
J0406+6138,04:06:30.0806,+61:38:41.408
J0407+1607,04:07:54.939,16:07:16.4
J0408+551,04:08,+55:00:00
J0408+552,04:08,+55:00:00
J0410-31,04:10:39,-31:07:29
J0413+58,04:13,+58:00:00
J0414+31,04:14,+31:00:00
J0415+6954,04:15:55.65503692,+69:54:09.89855373
J0417+35,04:17:43,+35:45
J0417+61,04:17,+61:08
J0418+5732,04:18:33.867,+57:32:22.91
J0418+6635,04:18:48.0,+66:35:25
J0418-4154,04:18:03.7748,-41:54:14.42
J0419+44,04:19,+44:00:00
J0420-5022,04:20:01.95,-50:22:48.1
J0421+3255,04:21:33.2,+32:55:50
J0421-0345,04:21:33.55502672,-03:45:06.60357141
J0426+4933,04:26:06.813,+49:33:38.46
J0435+2749,04:35:51.818,27:49:01.7
J0437-4715,04:37:15.8961737,-47:15:09.110714
J0447-04,04:47,-04:35
J0448-2749,04:48:41.56589745,-27:49:46.72915209
J0449-7031,04:49:05.67,-70:31:31.7
J0450-1248,04:50:08.781,-12:48:07.10
J0451-67,04:51:50,-67:18
J0452-1759,04:52:34.1057,-17:59:23.371
J0453+1559,04:53:45.41368,+15:59:21.3063
J0454+4529,04:54:59.310,+45:29:46.7
J0454+5543,04:54:07.7506,+55:43:41.437
J0455-6951,04:55:47.55,-69:51:34.3
J0456-69,04:56:30,-69:10
J0456-7031,04:56:02.5,-70:31:06.6
J0457+23,04:57:06,+23:34:00
J0457-6337,04:57:07.79,-63:37:30.4
J0457-69,04:57:02,-69:46
J0458-0505,04:58:37.121,-05:05:05.1
J0458-67,04:58:59,-67:43
J0459-0210,04:59:51.94027817,-02:10:06.62699187
J0501+4516,05:01:06.76,+45:16:33.92
J0502+4654,05:02:04.561,46:54:06.09
J0502-6617,05:02:50.53,-66:17:58.8
J0506+50,05:06:14.1,+50:30:30
J0509+0856,05:09:22.23485,+08:56:25.0248
J0509+37,05:09,+37:32
J0509+3801,05:09:31.7879475,+38:01:18.08739717
J0511-6508,05:11:56.50,-65:08:36.5
J0514-4002A,05:14:06.69271,-40:02:48.8930
J0514-4002B,05:14:06.73,-40:02:47.9
J0514-4002C,05:14:06.69,-40:02:49.4
J0514-4002D,05:14:06.73,-40:02:48.2
J0514-4002E,05:14:06.68,-40:02:47.7
J0514-4002F,05:14:06.7,-40:02:48.5
J0514-4002G,05:14:06.63,-40:02:48.1
J0514-4002H,05:14:06.6,-40:02:48
J0514-4002I,05:14:06.75,-40:02:48.2
J0514-4002J,05:14:06.7,-40:02:48
J0514-4002K,05:14:06.8,-40:02:48
J0514-4002L,05:14:06.8,-40:02:48.0
J0514-4002M,05:14:06.8,-40:02:48
J0514-4002N,05:14:06.7,-40:02:47
J0514-4408,05:14:52.190,-44:08:37.38
J0517+2212,05:17:17.147,22:12:51.9
J0518+5125,05:18:26.145,+51:25:58.7
J0518+5416,05:18:53.2001914,+54:16:50.01068321
J0519+44,05:19,+44:00:00
J0519-6932,05:19:46.917,-69:32:23.48
J0520-2553,05:20:36.18385086,-25:53:12.28983763
J0521-68,05:21:44,-68:35
J0522-6847,05:22:23.06,-68:47:02.2
J0523-7125,05:23:48.66,-71:25:52.58
J0525+1115,05:25:56.4483,11:15:19.08
J0525-6607,05:26:00.9,-66:04:36.3
J0528+2200,05:28:52.264,+22:00:04
J0529-0715,05:29:08.973,-07:15:26.43
J0529-6652,05:29:50.90,-66:52:39.9
J0530-39,05:30,-39:00:00
J0532-6639,05:32:59.51,-66:39:37.3
J0532-69,05:32:04,-69:46
J0533+0402,05:33:25.828,+04:01:59.7
J0533+6759,05:33:55.1401,+67:59:17.489
J0533-4524,05:33:13.89,-45:24:50.2
J0534+2200,05:34:31.973,+22:00:52.06
J0534+34,05:34:30,+34:07
J0534-13,05:34,-13:00:00
J0534-6703,05:34:36.17,-67:03:48.8
J0535-66,05:35:40,-66:52
J0535-6935,05:35,-69:35
J0536-7543,05:36:30.82,-75:43:54.8
J0537-69,05:37:43,-69:21
J0537-6910,05:37:47.416,-69:10:19.88
J0538+2817,05:38:25.0572,+28:17:09.161
J0540+3207,05:40:37.116,+32:07:37.3
J0540-6919,05:40:11.202,-69:19:54.17
J0540-7125,05:40:30.8,-71:25:31.4
J0542-68,05:42:35,-68:16
J0543+2329,05:43:09.660,23:29:05
J0543-6851,05:43:52.71,-68:51:25.3
J0544+20,05:44:12,+20:50
J0545-03,05:45,-03:10
J0546+2441,05:46:28.76,+24:41:21
J0550+09,05:50:28,+09:51
J0554+3107,05:54:05.01,+31:07:41
J0555+3948,05:55,+39:48
J0555-7056,05:55:01.85,-70:56:45.6
J0556-67,05:56:25,-67:29
J0557+1550,05:57:31.44918,+15:50:06.046
J0557-2948,05:57:32.9995,-29:48:16.804
J0600-5756,06:00:46.5,-57:56:54
J0601-0527,06:01:58.9752,-05:27:50.871
J0605+3757,06:05:05.5439,+37:57:35.96
J0608+00,06:08:49,+00:39
J0608+1635,06:08:51.662,+16:35:09.4
J0609+2130,06:09:58.8861,+21:30:2.84
J0610-2100,06:10:13.596735,-21:00:27.89913
J0611+04,06:11:18,+04:06
J0611+1436,06:11:18.649,+14:36:52
J0611+30,06:11:16,30:16
J0612+3721,06:12:48.68659546,+37:21:37.35667681
J0612+37216,06:12:44.10122251,+37:21:40.22560617
J0613+3731,06:13:12.150,+37:31:38.3
J0613-0200,06:13:43.97488943,-02:00:47.23759377
J0614+2229,06:14:17.0058,+22:29:56.848
J0614+83,06:14,+83:14
J0614-3329,06:14:10.3478,-33:29:54.118
J0621+0336,06:21:11.221,+03:36:45.52
J0621+1002,06:21:22.11436,+10:02:38.7352
J0621+2514,06:21:10.8542,+25:14:03.83
J0621-55,06:20:42,-56:05
J0622+3749,06:22:10.51,+37:49:13.6
J0623+0340,06:23:46.759,+03:40:06.8
J0624-0424,06:24:20.02715206,-04:24:50.45345382
J0625+10,06:25:45,+10:16
J0627+0649,06:27:53.6286,+06:49:54.13
J0627+0706,06:27:44.172,+07:06:33.0
J0627+16,06:27:13,16:12
J0628+0909,06:28:36.183,+09:09:13.9
J0629+2415,06:29:05.7273,+24:15:41.546
J0630+19,06:30:04,+19:37
J0630-0046,06:30:26.956,-00:46:05.85
J0630-2834,06:30:49.404393,-28:34:42.77881
J0631+0646,06:31:52.38,+06:46:14.2
J0631+1036,06:31:27.524,+10:37:02.5
J0633+0632,06:33:44.21,+06:32:34.9
J0633+1746,06:33:54.1530,+17:46:12.909
J0633-2015,06:33:08.86,-20:15:07.1
J0635+0533,06:35:18,+05:33:11
J0636+5128,06:36:04.84787662,+51:28:59.96367296
J0636-23,06:36,-23:00:00
J0636-3044,06:37:09,-30:50:42
J0636-4549,06:36:33.744,-45:49:32.62
J0641+07,06:41:10,+07:44
J0645+5158,06:45:59.0827386,+51:58:14.91061672
J0645+80,06:46,+80:09
J0646+0905,06:46:31.025,+09:05:49.6
J0646-54,06:46:22.4,-54:52:57
J0647+0913,06:47:15.68,+09:13:59.5
J0648-27,06:48,-27:00:00
J0652-0142,06:52:11.106,-01:42:30.3
J0653+06,06:53,-06:16
J0653+4706,06:53:05.813,+47:06:26.92
J0653+8051,06:53:15.09,80:52:00.22
J0656-2228,06:56:30.207,-22:28:25.55
J0656-5449,06:56:48.990,-54:49:14.92
J0658+0022,06:58:15.209,+00:22:35.3
J0658+2936,06:57:44.62,+29:36:29
J0659+1414,06:59:48.196,+14:14:19.4
J0659-36,06:59,-36:00:00
J0700+6418,07:00:37.802,64:18:11.20
J0702-4956,07:02:39.3,-49:56:34.2
J0709+0458,07:09:08.36539,+04:58:51.4941
J0709-5923,07:09:32.533,-59:23:55.60
J0711+0931,07:11:36.18,+09:31:25
J0711-6830,07:11:54.176349,-68:30:47.36889079
J0719-2545,07:19:07.380,-25:45:00.23
J0720-3125,07:20:24.9620,-31:25:50.083
J0721-2038,07:21:42.9047,-20:38:07.061
J0725-1635,07:25:00.40286603,-16:35:45.82043305
J0726-2612,07:26:08.12,-26:12:38.1
J0729-1448,07:29:16.45,-14:48:36.8
J0729-1836,07:29:32.3369,-18:36:42.244
J0732+2314,07:32:37.5156,+23:14:54.21
J0733-2345,07:33:24.60,-23:45:56.2
J0734-1559,07:34:45.695,-15:59:18.24
J0736-6304,07:36:20.01,-63:04:16
J0737-2202,07:37:44.071,-22:02:05.32
J0737-3039A,07:37:51.248419,-30:39:40.71431
J0737-3039B,07:37:51.248419,-30:39:40.71431
J0738+6904,07:38:22.60742074,+69:04:20.02204057
J0738-4042,07:38:32.262,-40:42:39.42
J0740+6620,07:40:45.79413356,+66:20:33.51332333
J0741+17,07:41,+17:03
J0742+4110,07:42:12.22,+41:10:15.0
J0742+4334,07:42:42.13,+43:34:02.2
J0742-2822,07:42:49.058,-28:22:43.76
J0744-2525,06:46:22.4,-54:52:57
J0745-5353,07:45:04.48,-53:53:09.56
J0746-4529,07:46:59.518,-45:29:26.65
J0747+6646,07:47:39.6887554,+66:46:56.75871404
J0749-4247,07:49:49.675,-42:47:42.14
J0750+57,07:50,+57:00
J0750-6846,07:50:35.85,-68:46:33.81
J0751+1807,07:51:09.155331,+18:07:38.4864
J0753-0816,07:53:33,-08:19:35
J0754+3231,07:54:40.688,32:31:56.2
J0758-1528,07:58:29.0708,-15:28:08.738
J0758-30,07:58,-30:00:00
J0802-5613,08:02:24.0,-56:13:02
J0803+34,08:03:05,+34:19
J0803-0942,08:03:26.848,-09:42:50.81
J0804-3647,08:04:22.20,-36:47:35.5
J0806+08,08:06:05,+08:17
J0806-4123,08:06:23.40,-41:22:30.9
J0807-5421,08:07:47.185,-54:21:26.46
J0808-3937,08:08:11.63,-39:37:52.9
J0809-4753,08:09:43.835,-47:53:54.70
J0811+37,08:11:12,+37:28
J0812-3905,08:12:14.802,-39:05:48.92
J0813+22,08:13:54,+22:01
J0814+7429,08:14:59.50,74:29:05.70
J0815+0939,08:15:08.776,+09:39:50.7
J0815+4611,08:15:59.4623,+46:11:53.24
J0818-3049,08:18:49.3,-30:49:31
J0818-3232,08:18:25.935,-32:32:30.53
J0820-1350,08:20:26.3817,-13:50:55.859
J0820-3826,08:20:59.929,-38:26:42.9
J0820-3921,08:20:49.11,-39:21:55.7
J0820-4114,08:20:15.46,-41:14:35.2
J0821-4221,08:21:44.636,-42:21:25.46
J0821-4300,08:21:57.3653,-43:00:17.074
J0823+0159,08:23:09.7651,+01:59:12.469
J0824+0028,08:24:24.84022,00:28:0.567
J0826+2637,08:26:51.5068,+26:37:21.297
J0827+53,08:27:48,+53:00
J0828-3417,08:28:16.62390408,-34:17:07.05703377
J0831-4406,08:31:32.43,-44:06:11.9
J0834-4159,08:34:17.807,-41:59:35.99
J0834-60,08:34:50,-60:35
J0835-3707,08:35:03.08,-37:07:51.5
J0835-4510,08:35:20.61149,-45:10:34.8751
J0836-4233,08:36:05.85,-42:33:24.9
J0837+0610,08:37:05.642,06:10:14.56
J0837-24,08:37:44,-24:47:48
J0837-4135,08:37:21.1943,-41:35:14.563
J0838-2621,08:38:18.801,-26:21:29.55
J0838-3947,08:38:30.8,-39:47:22
J0839-66,08:39:37,-66:34:52
J0840-5332,08:40:33.726,-53:32:35.95
J0842-4851,08:42:05.4443,-48:51:20.6
J0843+0719,08:43:33.82,+07:18:47.8
J0843+67,08:43:22.8,+67:13:08
J0843-5022,08:43:09.884,-50:22:43.10
J0846-3533,08:46:06.040,-35:33:41.2
J0847-4316,08:47:57.33,-43:16:56.8
J0848+16,08:48:53,+16:43
J0849+8028,08:49:01.51184296,+80:28:59.11200732
J0849-6322,08:49:42.59,-63:22:35.0
J0854+5449,08:54:25.7255,+54:49:28.782
J0855-3331,08:55:38.41198009,-33:31:39.31506969
J0855-4644,08:55:36.18,-46:44:13.4
J0855-4658,08:55:19.57,-46:58:22.6
J0856-6137,08:56:59.27,-61:37:52.71
J0857+3349,08:57:07.07,+33:49:17.0
J0857-4424,08:57:55.832,-44:24:10.65
J0900-3144,09:00:43.953088,-31:44:30.89520
J0901-4624,09:01:40.12,-46:24:48.5
J0902-6325,09:02:32.4,-63:25:12.0
J0904-4246,09:04:59.083,-42:46:13.4
J0904-7459,09:04:10.47,-74:59:41.7
J0905-4536,09:05:23.90,-45:36:53.0
J0905-5127,09:05:51.96,-51:27:54.05
J0905-6019,09:05:15.245,-60:19:22.06
J0907-5157,09:07:15.901,-51:57:59.36
J0908-1739,09:08:38.1822,-17:39:37.67
J0908-4913,09:08:35.46,-49:13:05.00
J0909-7212,09:09:35.81,-72:12:08.94
J0910+77,09:10,+77:28
J0912-3851,09:12:42.70,-38:51:03
J0919-42,09:19,-42:00
J0919-6040,09:19:27.87,-60:40:50.4
J0921+6254,09:21:14.13588513,+62:54:13.89846257
J0921-5202,09:21:59.8785,-52:02:38.47
J0922+0638,09:22:14.022,06:38:23.30
J0922-4949,09:22:14.961,-49:49:12.08
J0923-31,09:23:58,-31:57
J0924-5302,09:24:08.722,-53:02:42.6
J0924-5814,09:24:30.82,-58:14:05.10
J0925+6103,09:25:17.5451,61:03:04.104
J0927+2345,09:27:45.26,23:45:10.7
J0928+06,09:28:44,+06:14
J0928+30,09:29:00,+30:38
J0930-2301,09:30:02.82,-23:01:45
J0931-1902,09:31:19.11592707,-19:02:55.04057841
J0932-3217,09:32:39.15,-32:17:14.2
J0932-5327,09:32:22.86,-53:27:11.0
J0934-4154,09:34:58.20,-41:54:19.5
J0934-5249,09:34:28.237,-52:49:27.30
J0935+33,09:35:06,+33:11
J0940-5428,09:40:58.22,-54:28:40.6
J0941-39,09:41:38,-39:41
J0941-5244,09:41:41.147,-52:44:04.48
J0942-5552,09:42:14.88,-55:52:55.1
